id_recipe,quantity,measure,id_ingredient
91,12.5,cl de,16
92,4,cl de,9
92,2,cl de,3
92,1,cl de,124
92,1,cl de,2
93,4,cl de,7
93,2,cl de,11
93,1/2,cuillère à café de,57
93,1,morceau de,82
94,"3,1",cl de,135
94,"1,5",cl de,1
95,5,cl de,8
95,3,cl de,7
95,2,cl de,84
96,3/10,de,48
96,1/10,de,24
96,2/10,de,84
96,2/10,de,136
96,2/10,de,80
96,0.5,cl de,30
97,16,cl de,42
97,2,cl de,11
97,4,cl de,1
97,2,cl de,58
98,4/10,volumes de,35
98,3/10,volumes de,58
98,2/10,volumes de,137
98,1/20,volumes de,106
98,1,zeste de,54
98,1,,138
99,1.5,cl de,2
99,1.5,cl de,5
99,4,cl de,139
100,4,cl de,7
100,0.5,cl de,17
100,12,cl de,8
101,4,cl de,140
101,2,cl de,16
101,1,cl de,30
102,25,cl de,141
102,5,cl de,140
103,50,cl d',66
103,6,têtes d',142
103,1,cuillère à soupe d',143
103,400,grammes de,57
103,1.5,litres de,144
103,1,cuillère à soupe de graines de,145
103,1,cuillère à soupe de,146
103,1,cuillère à soupe de,147
103,10,cl d',20
104,2,cl de,5
104,2,cl de,13
104,2,cl de,137
105,3,cl de,32
105,2,cl de,9
105,1.5,cl de,52
105,1,cl de,124
105,0.5,cl de,25
106,4,cl de,148
106,2,cl de,36
106,2,cl de,8
106,2,trait de,30
106,2,trait de,33
106,1,cl de,114
107,,,6
107,1/2,,91
107,4,cl de,32
107,2,cl de,5
107,1,cl de,30
108,1.5,cl de,32
108,1.5,cl de,13
108,1.5,cl de,2
108,1.5,cl de,49
109,3,cl de,3
109,1,cl de,11
109,1/2,cuillère à café de,17
109,,,79
110,,,20
110,4.5,cl de,3
110,1/2,,91
110,1,morceau de,57
111,4,cl de,148
111,0.5,cl de,30
111,1/2,cuillère à café de,98
111,1,morceau de,149
111,,,79
112,4,cl de,7
112,2,cl de,2
112,1,cl de,16
112,1,cl de,11
113,2,cl de,137
113,4,cl de,131
113,,,12
114,3,cl de,13
114,3,cl de,86
114,2,cl de,117
115,5,cl de,35
115,4,cl de,3
115,3,cl de,124
115,10,cl de,9
115,1,cl de,1
115,1,cl de,150
116,2,cl de,2
116,2,cl de,16
116,2,cl de,52
116,1,cl de,1
117,3,cl de,16
117,6,cl de,3
117,1,cuillère de,102
118,3,cl de,3
118,4,cl de,9
118,3,cl de,151
118,1,trait de,30
119,4,cl de,32
119,2,cl de,125
119,1,cl de,152
119,7,cl de,153
120,5,cl de,37
120,1,cl de,49
120,0.5,cl de,83
121,35,cl de,3
121,35,cl de,17
121,1,cl de,154
121,2,bouteille de,155
122,,,6
122,4,cl de,5
122,2,cl de,17
122,2,cl de,16
122,2,cl de,9
123,4,cl de,48
123,2,cl de,30
123,10,cl de,8
123,4,cl de,107
124,4,cl de,3
124,2,cl de,137
124,3,cl de,16
124,1,cl de,8
124,1,cl de,17
125,3,cl de,97
125,2,cl de,5
125,2,cl de,32
125,1,cl de,13
125,5,cl de,108
125,1,cl de,118
125,1,petite cuillère de,102
126,7,cl de,119
126,7,cl de,8
126,7,cl de,81
127,,,51
127,3,cl de,32
127,1.5,cl de,16
127,1,cl de,8
127,1,cl de,156
127,1,cl de,83
128,4,cl de,37
128,2,cl de,148
128,2,cl de,3
128,1/4,cuillère à café d',83
129,4/7,de,48
129,2/7,de,152
129,1/7,de,157
129,0.5,cl de,88
130,1/2,,91
130,1/2,,158
130,5,cl de,159
130,2,cl de,5
131,3,cl de,3
131,2,cl de,160
131,2,cl de,161
131,1,cl de,30
131,7,cl de,162
131,1,cl de,16
132,0.5,cl de,109
132,2,cl de,5
132,3,cl de,4
132,6,cl de,163
133,3,cl d',106
133,3,cl de,5
133,3,cl de,97
134,4,cl de,164
134,1.5,cl de,25
135,2,cl de,25
135,2,cl de,5
135,2,cl de,2
135,2,cl de,30
136,7,cl de,24
136,1,cl de,25
137,20,cl de,8
137,2,cl de,30
137,1,cl de,83
137,2,cl de,126
138,4,cl de,5
138,1,cl de,98
138,1,cl de,30
138,1/2,blanc d',50
139,6,cl de,31
139,2,cl de,25
140,1,cl de,165
140,2,cl de,166
140,2,cl de,167
140,2,cl de,5
140,2,cl de,16
141,2,cl de,156
141,1,cl de,35
142,3,cl de,31
142,3,cl de,25
142,3,cl de,148
142,3,cl de,34
143,5,traits d',83
143,,,162
144,1/2,cuillère de,168
144,2,cl de,17
144,1,cuillère de,102
144,3,cl de,169
144,4,cl de,3
144,10,cl de,20
145,5,cl de,16
145,1,cl de,17
145,0.5,cl de,83
145,1,blanc d',50
145,12,cl de,6
146,4,cl de,35
146,2,cl de,170
146,2,cl de,10
147,1.5,cl de,117
147,1.5,cl de,171
147,1.5,cl de,40
